"ID"	"日常活动ID(需要与服务器枚举对应)1.签到2.单人副本3.旧坐骑已废弃4.竞技场5.英雄挑战本6.帮派捐献7.古墓迷宫8.旧技能已废弃9.单人boss10.野外boss11.装备升星12.装备提炼13.华山论剑14.抽卡-未用15.经脉16.跨服战场17.跨服组队本18.守卫战19.帮派boss20.帮派任务21.环任务22.世界boss23.VIP领奖24.侍从寻宝25.随机商店买26.PvP杀怪27.群怪挑战本"	"所需完成次数"	"活跃值"	"生效等级区间"	"开放等级"	"标签"	"活动名称"	"活动描述"	"活动奖励描述"	"链接界面填0表示任务寻路"	"切页（1,2,3为第几个切页，没有为空）"	"界面显示排序"	"已完成状态图标"	"推荐进行"	"界面显隐true显示false隐藏"	"链接任务多个任务为或的关系，身上有哪个寻路哪个"	
"id"	"activity_id"	"req_cnt"	"active_value"	"enable_level"	"open_level"	"label"	"name"	"desc"	"reward_desc"	"gui_id"	"ui_sub_page"	"order"	"icon_finished"	"recommended"	"display"	"quest_id"	
"int"	"int"	"int"	"int"	"int[2]"	"int"	"string"	"string"	"string"	"string"	"int"	"int"	"int"	"string[]"	"bool"	"bool"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"cl"	"cl"	"cl"	"cl"	"c"	"cl"	"c"	"c"	"c"	"c"	"c"	
"1"	"1"	"1"	"5"	"20,300"	"30"	"[fb5c06]【签到】[-]"	"每日签到"	"每日签到"	"每日签到，获取大量奖励"	"200157"	"2"	"100"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"2"	"2"	"2"	"10"	"20,300"	"52"	"[fb5c06]【副本】[-]"	"单人副本"	"挑战资源或剧情本"	"大量经验、铜币"	"200071"	"1"	"200"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"4"	"4"	"2"	"10"	"20,300"	"60"	"[fb5c06]【竞技】[-]"	"竞技场"	"参加竞技场"	"竞技勋章，可兑换稀有道具"	"200101"	"1"	"1300"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"5"	"5"	"1"	"10"	"20,300"	"50"	"[fb5c06]【副本】[-]"	"挑战BOSS"	"完成英雄挑战副本"	"侍从经验、心法残页"	"200071"	"3"	"400"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"6"	"6"	"1"	"10"	"20,300"	"39"	"[fb5c06]【帮派】[-]"	"帮派捐献"	"帮派捐献"	"帮派贡献"	"200052"	"4"	"800"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"7"	"7"	"1"	"15"	"20,300"	"58"	"[fb5c06]【活动】[-]"	"华林射鬼"	"华林射鬼"	"侍从经验"	"200101"	"1"	"1400"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"9"	"9"	"1"	"10"	"20,300"	"45"	"[fb5c06]【活动】[-]"	"八王之乱"	"通关八王之乱1次"	"优质装备、装备升星石"	"200183"	""	"300"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"10"	"10"	"1"	"10"	"20,300"	"50"	"[fb5c06]【活动】[-]"	"野外首领"	"攻击野外首领1次"	"顶级装备"	"200134"	""	"1200"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"11"	"11"	"1"	"5"	"20,300"	"26"	"[fb5c06]【装备】[-]"	"装备升星"	"完成装备升星"	"星级提升，战力飞升"	"200117"	"1"	"1100"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"12"	"12"	"1"	"5"	"20,300"	"42"	"[fb5c06]【装备】[-]"	"装备提炼"	"完成装备提炼"	"低端装备，变废为宝"	"200117"	"2"	"2000"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"13"	"13"	"3"	"5"	"20,300"	"58"	"[fb5c06]【竞技】[-]"	"试剑云锦"	"参与试剑云锦"	"比武荣誉，可兑换稀有道具"	"200161"	""	"500"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"15"	"15"	"1"	"5"	"20,300"	"22"	"[fb5c06]【经脉】[-]"	"经脉冲穴"	"经脉冲穴1次"	"经脉冲穴，提升战力"	"200021"	"1"	"1800"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"16"	"16"	"1"	"15"	"20,300"	"80"	"[fb5c06]【竞技】[-]"	"跨服战场"	"完成跨服战场"	"战场勋章，可兑换稀有道具"	"200101"	"1"	"1500"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"17"	"17"	"1"	"10"	"20,300"	"40"	"[fb5c06]【活动】[-]"	"跨服组队"	"完成跨服组队"	"优质装备、装备洗练石"	"200115"	""	"900"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"19"	"19"	"1"	"15"	"20,300"	"39"	"[fb5c06]【活动】[-]"	"帮派BOSS"	"击杀帮派BOSS"	"魔力水晶"	"200052"	"6"	"1700"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"20"	"20"	"3"	"5"	"20,300"	"39"	"[fb5c06]【帮派】[-]"	"帮派任务"	"完成帮派任务3个"	"帮会贡献、历练"	"200052"	"5"	"600"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"21"	"21"	"1"	"10"	"20,300"	"60"	"[fb5c06]【日环】[-]"	"环任务"	"完成日环任务"	"大量经验、历练"	"200140"	""	"700"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"22"	"22"	"1"	"10"	"20,300"	"75"	"[fb5c06]【活动】[-]"	"全服首领"	"击杀全服首领1次"	"稀有道具"	"200231"	""	"2200"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"23"	"23"	"1"	"10"	"20,300"	"30"	"[fb5c06]【VIP】[-]"	"VIP奖励"	"领取VIP每日奖励"	"大量养成资源"	"200110"	""	"2100"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"24"	"24"	"1"	"5"	"20,300"	"62"	"[fb5c06]【寻宝】[-]"	"侍从寻宝"	"侍从触发寻宝1次"	"侍从装备"	"200293"	"2"	"140"	"qiandao_main_png,day_yes"	"0"	"1"	""	
"25"	"25"	"1"	"5"	"20,300"	"57"	"[fb5c06]【淘宝】[-]"	"商场淘宝"	"购买奇珍阁商品"	"稀有道具"	"200293"	"3"	"150"	"qiandao_main_png,day_yes"	"1"	"1"	""	
"26"	"26"	"1"	"10"	"20,300"	"60"	"[fb5c06]【挂机】[-]"	"每日挂机"	"完成挂机任务"	"法宝充能材料"	"200315"	""	"750"	"qiandao_main_png,day_yes"	"0"	"1"	"40000,40001,40002,40003,40004,40005,40006,40007,40008,40009,40010,40011,40012,40013,40014,40015,40016,40017,40018,40019"	
"27"	"27"	"1"	"10"	"20,300"	"50"	"[fb5c06]【副本】[-]"	"挑战群雄"	"完成群雄挑战副本"	"侍从经验、心法残页"	"200071"	"3"	"450"	"qiandao_main_png,day_yes"	"1"	"1"	""	
