"装备位*1000+等级"	"装备名称"	"玩家等级限制"	"品质。0=白色，1=绿,2=蓝色，3=紫色,4=金色，5=橙色"	"图标ID。填入icon的资源的名称"	"基础属性1数值"	"基础属性2数值"	"附加属性1上限"	"附加属性2上限"	"附加属性3上限"	"附加属性4上限"	"可开放宝石孔数目"	"消耗物品1（类型，数量）"	"消耗物品2（类型，数量）"	
"id"	"itemName"	"level"	"color"	"icon"	"basicVal1"	"basicVal2"	"extendVal1"	"extendVal2"	"extendVal3"	"extendVal4"	"gemHoleNum"	"consume1"	"consume2"	
"int"	"string"	"int"	"int"	"string[]"	"float"	"float"	"float"	"float"	"float"	"float"	"int"	"int[2]"	"int[2]"	
"cs"	"c"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"5001"	"1级项链"	"1"	"0"	"item_equip,xianglian1"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"5002"	"2级项链"	"2"	"0"	"item_equip,xianglian1"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"5003"	"3级项链"	"3"	"0"	"item_equip,xianglian1"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"5004"	"4级项链"	"4"	"1"	"item_equip,xianglian2"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"5005"	"5级项链"	"5"	"1"	"item_equip,xianglian2"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"5006"	"6级项链"	"6"	"1"	"item_equip,xianglian2"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"5007"	"7级项链"	"7"	"2"	"item_equip,xianglian1"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"5008"	"8级项链"	"8"	"2"	"item_equip,xianglian1"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"5009"	"9级项链"	"9"	"2"	"item_equip,xianglian1"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"5010"	"10级项链"	"10"	"3"	"item_equip,xianglian2"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"5011"	"11级项链"	"11"	"3"	"item_equip,xianglian2"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
"5012"	"12级项链"	"12"	"3"	"item_equip,xianglian2"	"420.000000"	"0.000000"	"420.000000"	"420.000000"	"420.000000"	"420.000000"	"4"	"100001,21"	"300001,21"	
"5013"	"13级项链"	"13"	"4"	"item_equip,xianglian1"	"500.000000"	"0.000000"	"500.000000"	"500.000000"	"500.000000"	"500.000000"	"5"	"100001,22"	"300001,22"	
"5014"	"14级项链"	"14"	"4"	"item_equip,xianglian1"	"510.000000"	"0.000000"	"510.000000"	"510.000000"	"510.000000"	"510.000000"	"5"	"100001,23"	"300001,23"	
"5015"	"15级项链"	"15"	"4"	"item_equip,xianglian1"	"520.000000"	"0.000000"	"520.000000"	"520.000000"	"520.000000"	"520.000000"	"5"	"100001,24"	"300001,24"	
"5016"	"16级项链"	"16"	"4"	"item_equip,xianglian1"	"530.000000"	"0.000000"	"530.000000"	"530.000000"	"530.000000"	"530.000000"	"6"	"100001,25"	"300001,25"	
"5017"	"17级项链"	"17"	"4"	"item_equip,xianglian1"	"540.000000"	"0.000000"	"540.000000"	"540.000000"	"540.000000"	"540.000000"	"6"	"100001,26"	"300001,26"	
"5018"	"18级项链"	"18"	"4"	"item_equip,xianglian2"	"550.000000"	"0.000000"	"550.000000"	"550.000000"	"550.000000"	"550.000000"	"6"	"100001,27"	"300001,27"	
"5019"	"19级项链"	"19"	"4"	"item_equip,xianglian2"	"560.000000"	"0.000000"	"560.000000"	"560.000000"	"560.000000"	"560.000000"	"6"	"100001,28"	"300001,28"	
"5020"	"20级项链"	"20"	"4"	"item_equip,xianglian2"	"570.000000"	"0.000000"	"570.000000"	"570.000000"	"570.000000"	"570.000000"	"6"	"100001,29"	"300001,29"	
"6001"	"1级耳环"	"1"	"0"	"item_equip,hufu1"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"6002"	"2级耳环"	"2"	"0"	"item_equip,hufu1"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"6003"	"3级耳环"	"3"	"0"	"item_equip,hufu1"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"6004"	"4级耳环"	"4"	"1"	"item_equip,hufu2"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"6005"	"5级耳环"	"5"	"1"	"item_equip,hufu2"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"6006"	"6级耳环"	"6"	"1"	"item_equip,hufu2"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"6007"	"7级耳环"	"7"	"2"	"item_equip,hufu1"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"6008"	"8级耳环"	"8"	"2"	"item_equip,hufu1"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"6009"	"9级耳环"	"9"	"2"	"item_equip,hufu1"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"6010"	"10级耳环"	"10"	"3"	"item_equip,hufu2"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"6011"	"11级耳环"	"11"	"3"	"item_equip,hufu2"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
"6012"	"12级耳环"	"12"	"3"	"item_equip,hufu2"	"420.000000"	"0.000000"	"420.000000"	"420.000000"	"420.000000"	"420.000000"	"4"	"100001,21"	"300001,21"	
"6013"	"13级耳环"	"13"	"4"	"item_equip,hufu1"	"500.000000"	"0.000000"	"500.000000"	"500.000000"	"500.000000"	"500.000000"	"5"	"100001,22"	"300001,22"	
"6014"	"14级耳环"	"14"	"4"	"item_equip,hufu1"	"510.000000"	"0.000000"	"510.000000"	"510.000000"	"510.000000"	"510.000000"	"5"	"100001,23"	"300001,23"	
"6015"	"15级耳环"	"15"	"4"	"item_equip,hufu1"	"520.000000"	"0.000000"	"520.000000"	"520.000000"	"520.000000"	"520.000000"	"5"	"100001,24"	"300001,24"	
"6016"	"16级耳环"	"16"	"4"	"item_equip,hufu1"	"530.000000"	"0.000000"	"530.000000"	"530.000000"	"530.000000"	"530.000000"	"6"	"100001,25"	"300001,25"	
"6017"	"17级耳环"	"17"	"4"	"item_equip,hufu1"	"540.000000"	"0.000000"	"540.000000"	"540.000000"	"540.000000"	"540.000000"	"6"	"100001,26"	"300001,26"	
"6018"	"18级耳环"	"18"	"4"	"item_equip,hufu2"	"550.000000"	"0.000000"	"550.000000"	"550.000000"	"550.000000"	"550.000000"	"6"	"100001,27"	"300001,27"	
"6019"	"19级耳环"	"19"	"4"	"item_equip,hufu2"	"560.000000"	"0.000000"	"560.000000"	"560.000000"	"560.000000"	"560.000000"	"6"	"100001,28"	"300001,28"	
"6020"	"20级耳环"	"20"	"4"	"item_equip,hufu2"	"570.000000"	"0.000000"	"570.000000"	"570.000000"	"570.000000"	"570.000000"	"6"	"100001,29"	"300001,29"	
"7001"	"1级戒指"	"1"	"0"	"item_equip,jiezhi1"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"7002"	"2级戒指"	"2"	"0"	"item_equip,jiezhi1"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"7003"	"3级戒指"	"3"	"0"	"item_equip,jiezhi1"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"7004"	"4级戒指"	"4"	"1"	"item_equip,jiezhi2"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"7005"	"5级戒指"	"5"	"1"	"item_equip,jiezhi2"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"7006"	"6级戒指"	"6"	"1"	"item_equip,jiezhi2"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"7007"	"7级戒指"	"7"	"2"	"item_equip,jiezhi1"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"7008"	"8级戒指"	"8"	"2"	"item_equip,jiezhi1"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"7009"	"9级戒指"	"9"	"2"	"item_equip,jiezhi1"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"7010"	"10级戒指"	"10"	"3"	"item_equip,jiezhi2"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"7011"	"11级戒指"	"11"	"3"	"item_equip,jiezhi2"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
"7012"	"12级戒指"	"12"	"3"	"item_equip,jiezhi2"	"420.000000"	"0.000000"	"420.000000"	"420.000000"	"420.000000"	"420.000000"	"4"	"100001,21"	"300001,21"	
"7013"	"13级戒指"	"13"	"4"	"item_equip,jiezhi1"	"500.000000"	"0.000000"	"500.000000"	"500.000000"	"500.000000"	"500.000000"	"5"	"100001,22"	"300001,22"	
"7014"	"14级戒指"	"14"	"4"	"item_equip,jiezhi1"	"510.000000"	"0.000000"	"510.000000"	"510.000000"	"510.000000"	"510.000000"	"5"	"100001,23"	"300001,23"	
"7015"	"15级戒指"	"15"	"4"	"item_equip,jiezhi1"	"520.000000"	"0.000000"	"520.000000"	"520.000000"	"520.000000"	"520.000000"	"5"	"100001,24"	"300001,24"	
"7016"	"16级戒指"	"16"	"4"	"item_equip,jiezhi1"	"530.000000"	"0.000000"	"530.000000"	"530.000000"	"530.000000"	"530.000000"	"6"	"100001,25"	"300001,25"	
"7017"	"17级戒指"	"17"	"4"	"item_equip,jiezhi1"	"540.000000"	"0.000000"	"540.000000"	"540.000000"	"540.000000"	"540.000000"	"6"	"100001,26"	"300001,26"	
"7018"	"18级戒指"	"18"	"4"	"item_equip,jiezhi2"	"550.000000"	"0.000000"	"550.000000"	"550.000000"	"550.000000"	"550.000000"	"6"	"100001,27"	"300001,27"	
"7019"	"19级戒指"	"19"	"4"	"item_equip,jiezhi2"	"560.000000"	"0.000000"	"560.000000"	"560.000000"	"560.000000"	"560.000000"	"6"	"100001,28"	"300001,28"	
"7020"	"20级戒指"	"20"	"4"	"item_equip,jiezhi2"	"570.000000"	"0.000000"	"570.000000"	"570.000000"	"570.000000"	"570.000000"	"6"	"100001,29"	"300001,29"	
"8001"	"肩膀"	"1"	"0"	"item,0_01"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"8002"	"肩膀"	"2"	"0"	"item,0_01"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"8003"	"肩膀"	"3"	"0"	"item,0_01"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"8004"	"肩膀"	"4"	"1"	"item,0_02"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"8005"	"肩膀"	"5"	"1"	"item,0_02"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"8006"	"肩膀"	"6"	"1"	"item,0_02"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"8007"	"肩膀"	"7"	"2"	"item,0_03"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"8008"	"肩膀"	"8"	"2"	"item,0_03"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"8009"	"肩膀"	"9"	"2"	"item,0_03"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"8010"	"肩膀"	"10"	"3"	"item,0_04"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"8011"	"肩膀"	"11"	"3"	"item,0_04"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
"8012"	"肩膀"	"12"	"3"	"item,0_04"	"420.000000"	"0.000000"	"420.000000"	"420.000000"	"420.000000"	"420.000000"	"4"	"100001,21"	"300001,21"	
"8013"	"肩膀"	"13"	"4"	"item,0_05"	"500.000000"	"0.000000"	"500.000000"	"500.000000"	"500.000000"	"500.000000"	"5"	"100001,22"	"300001,22"	
"8014"	"肩膀"	"14"	"4"	"item,0_05"	"510.000000"	"0.000000"	"510.000000"	"510.000000"	"510.000000"	"510.000000"	"5"	"100001,23"	"300001,23"	
"8015"	"肩膀"	"15"	"4"	"item,0_05"	"520.000000"	"0.000000"	"520.000000"	"520.000000"	"520.000000"	"520.000000"	"5"	"100001,24"	"300001,24"	
"8016"	"肩膀"	"16"	"4"	"item,0_05"	"530.000000"	"0.000000"	"530.000000"	"530.000000"	"530.000000"	"530.000000"	"6"	"100001,25"	"300001,25"	
"8017"	"肩膀"	"17"	"4"	"item,0_05"	"540.000000"	"0.000000"	"540.000000"	"540.000000"	"540.000000"	"540.000000"	"6"	"100001,26"	"300001,26"	
"8018"	"肩膀"	"18"	"4"	"item,0_05"	"550.000000"	"0.000000"	"550.000000"	"550.000000"	"550.000000"	"550.000000"	"6"	"100001,27"	"300001,27"	
"8019"	"肩膀"	"19"	"4"	"item,0_05"	"560.000000"	"0.000000"	"560.000000"	"560.000000"	"560.000000"	"560.000000"	"6"	"100001,28"	"300001,28"	
"8020"	"肩膀"	"20"	"4"	"item,0_05"	"570.000000"	"0.000000"	"570.000000"	"570.000000"	"570.000000"	"570.000000"	"6"	"100001,29"	"300001,29"	
"9001"	"肩膀"	"1"	"0"	"item,0_01"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"9002"	"肩膀"	"2"	"0"	"item,0_01"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"9003"	"肩膀"	"3"	"0"	"item,0_01"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"9004"	"肩膀"	"4"	"1"	"item,0_02"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"9005"	"肩膀"	"5"	"1"	"item,0_02"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"9006"	"肩膀"	"6"	"1"	"item,0_02"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"9007"	"肩膀"	"7"	"2"	"item,0_03"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"9008"	"肩膀"	"8"	"2"	"item,0_03"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"9009"	"肩膀"	"9"	"2"	"item,0_03"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"9010"	"肩膀"	"10"	"3"	"item,0_04"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"9011"	"肩膀"	"11"	"3"	"item,0_04"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
"9012"	"肩膀"	"12"	"3"	"item,0_04"	"420.000000"	"0.000000"	"420.000000"	"420.000000"	"420.000000"	"420.000000"	"4"	"100001,21"	"300001,21"	
"9013"	"肩膀"	"13"	"4"	"item,0_05"	"500.000000"	"0.000000"	"500.000000"	"500.000000"	"500.000000"	"500.000000"	"5"	"100001,22"	"300001,22"	
"9014"	"肩膀"	"14"	"4"	"item,0_05"	"510.000000"	"0.000000"	"510.000000"	"510.000000"	"510.000000"	"510.000000"	"5"	"100001,23"	"300001,23"	
"9015"	"肩膀"	"15"	"4"	"item,0_05"	"520.000000"	"0.000000"	"520.000000"	"520.000000"	"520.000000"	"520.000000"	"5"	"100001,24"	"300001,24"	
"9016"	"肩膀"	"16"	"4"	"item,0_05"	"530.000000"	"0.000000"	"530.000000"	"530.000000"	"530.000000"	"530.000000"	"6"	"100001,25"	"300001,25"	
"9017"	"肩膀"	"17"	"4"	"item,0_05"	"540.000000"	"0.000000"	"540.000000"	"540.000000"	"540.000000"	"540.000000"	"6"	"100001,26"	"300001,26"	
"9018"	"肩膀"	"18"	"4"	"item,0_05"	"550.000000"	"0.000000"	"550.000000"	"550.000000"	"550.000000"	"550.000000"	"6"	"100001,27"	"300001,27"	
"9019"	"肩膀"	"19"	"4"	"item,0_05"	"560.000000"	"0.000000"	"560.000000"	"560.000000"	"560.000000"	"560.000000"	"6"	"100001,28"	"300001,28"	
"9020"	"肩膀"	"20"	"4"	"item,0_05"	"570.000000"	"0.000000"	"570.000000"	"570.000000"	"570.000000"	"570.000000"	"6"	"100001,29"	"300001,29"	
"10001"	"肩膀"	"1"	"0"	"item,0_01"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"10002"	"肩膀"	"2"	"0"	"item,0_01"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"10003"	"肩膀"	"3"	"0"	"item,0_01"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"10004"	"肩膀"	"4"	"1"	"item,0_02"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"10005"	"肩膀"	"5"	"1"	"item,0_02"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"10006"	"肩膀"	"6"	"1"	"item,0_02"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"10007"	"肩膀"	"7"	"2"	"item,0_03"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"10008"	"肩膀"	"8"	"2"	"item,0_03"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"10009"	"肩膀"	"9"	"2"	"item,0_03"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"10010"	"肩膀"	"10"	"3"	"item,0_04"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"10011"	"肩膀"	"11"	"3"	"item,0_04"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
"10012"	"肩膀"	"12"	"3"	"item,0_04"	"420.000000"	"0.000000"	"420.000000"	"420.000000"	"420.000000"	"420.000000"	"4"	"100001,21"	"300001,21"	
"10013"	"肩膀"	"13"	"4"	"item,0_05"	"500.000000"	"0.000000"	"500.000000"	"500.000000"	"500.000000"	"500.000000"	"5"	"100001,22"	"300001,22"	
"10014"	"肩膀"	"14"	"4"	"item,0_05"	"510.000000"	"0.000000"	"510.000000"	"510.000000"	"510.000000"	"510.000000"	"5"	"100001,23"	"300001,23"	
"10015"	"肩膀"	"15"	"4"	"item,0_05"	"520.000000"	"0.000000"	"520.000000"	"520.000000"	"520.000000"	"520.000000"	"5"	"100001,24"	"300001,24"	
"10016"	"肩膀"	"16"	"4"	"item,0_05"	"530.000000"	"0.000000"	"530.000000"	"530.000000"	"530.000000"	"530.000000"	"6"	"100001,25"	"300001,25"	
"10017"	"肩膀"	"17"	"4"	"item,0_05"	"540.000000"	"0.000000"	"540.000000"	"540.000000"	"540.000000"	"540.000000"	"6"	"100001,26"	"300001,26"	
"10018"	"肩膀"	"18"	"4"	"item,0_05"	"550.000000"	"0.000000"	"550.000000"	"550.000000"	"550.000000"	"550.000000"	"6"	"100001,27"	"300001,27"	
"10019"	"肩膀"	"19"	"4"	"item,0_05"	"560.000000"	"0.000000"	"560.000000"	"560.000000"	"560.000000"	"560.000000"	"6"	"100001,28"	"300001,28"	
"10020"	"肩膀"	"20"	"4"	"item,0_05"	"570.000000"	"0.000000"	"570.000000"	"570.000000"	"570.000000"	"570.000000"	"6"	"100001,29"	"300001,29"	
