"法阵等级"	"类型（1=普通法阵,2=待定）"	"法阵升级所需材料ID"	"当前级法阵升级单次所需材料级量"	"当前级法阵升级所需总材料级量"	"当前级法阵附加属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前级属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	
"id"	"kind"	"item_id"	"item_num"	"item_num_total"	"attr"	"level_percent"	
"int"	"int"	"int"	"int"	"int"	"int[]"	"float[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"110401"	"2"	"4"	"0,2541,1,127,2,64,8,10,10,10,12,10,14,10,18,10,16,10"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"2"	"1"	"110401"	"2"	"4"	"0,5081,1,254,2,127,8,19,10,19,12,19,14,19,18,19,16,19"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"3"	"1"	"110401"	"2"	"4"	"0,7622,1,381,2,191,8,29,10,29,12,29,14,29,18,29,16,29"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"4"	"1"	"110401"	"2"	"4"	"0,10163,1,508,2,254,8,38,10,38,12,38,14,38,18,38,16,38"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"5"	"1"	"110401"	"2"	"4"	"0,12703,1,635,2,318,8,48,10,48,12,48,14,48,18,48,16,48"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"6"	"1"	"110401"	"2"	"4"	"0,15244,1,762,2,381,8,57,10,57,12,57,14,57,18,57,16,57"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"7"	"1"	"110401"	"2"	"4"	"0,17784,1,889,2,445,8,67,10,67,12,67,14,67,18,67,16,67"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"8"	"1"	"110401"	"2"	"4"	"0,20325,1,1016,2,508,8,76,10,76,12,76,14,76,18,76,16,76"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"9"	"1"	"110401"	"2"	"4"	"0,22866,1,1143,2,572,8,86,10,86,12,86,14,86,18,86,16,86"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"10"	"1"	"110401"	"2"	"4"	"0,25406,1,1270,2,635,8,95,10,95,12,95,14,95,18,95,16,95"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"11"	"1"	"110401"	"3"	"9"	"0,32181,1,1609,2,805,8,121,10,121,12,121,14,121,18,121,16,121"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"12"	"1"	"110401"	"3"	"9"	"0,38956,1,1948,2,974,8,146,10,146,12,146,14,146,18,146,16,146"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"13"	"1"	"110401"	"3"	"9"	"0,45732,1,2287,2,1143,8,171,10,171,12,171,14,171,18,171,16,171"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"14"	"1"	"110401"	"3"	"9"	"0,52507,1,2625,2,1313,8,197,10,197,12,197,14,197,18,197,16,197"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"15"	"1"	"110401"	"3"	"9"	"0,59282,1,2964,2,1482,8,222,10,222,12,222,14,222,18,222,16,222"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"16"	"1"	"110401"	"3"	"9"	"0,66057,1,3303,2,1651,8,248,10,248,12,248,14,248,18,248,16,248"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"17"	"1"	"110401"	"3"	"9"	"0,72832,1,3642,2,1821,8,273,10,273,12,273,14,273,18,273,16,273"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"18"	"1"	"110401"	"3"	"9"	"0,79607,1,3980,2,1990,8,299,10,299,12,299,14,299,18,299,16,299"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"19"	"1"	"110401"	"3"	"9"	"0,86382,1,4319,2,2160,8,324,10,324,12,324,14,324,18,324,16,324"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"20"	"1"	"110401"	"3"	"9"	"0,93157,1,4658,2,2329,8,349,10,349,12,349,14,349,18,349,16,349"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"21"	"1"	"110401"	"4"	"16"	"0,103319,1,5166,2,2583,8,387,10,387,12,387,14,387,18,387,16,387"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"22"	"1"	"110401"	"4"	"16"	"0,113482,1,5674,2,2837,8,426,10,426,12,426,14,426,18,426,16,426"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"23"	"1"	"110401"	"4"	"16"	"0,123644,1,6182,2,3091,8,464,10,464,12,464,14,464,18,464,16,464"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"24"	"1"	"110401"	"4"	"16"	"0,133807,1,6690,2,3345,8,502,10,502,12,502,14,502,18,502,16,502"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"25"	"1"	"110401"	"4"	"16"	"0,143970,1,7198,2,3599,8,540,10,540,12,540,14,540,18,540,16,540"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"26"	"1"	"110401"	"4"	"16"	"0,154132,1,7707,2,3853,8,578,10,578,12,578,14,578,18,578,16,578"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"27"	"1"	"110401"	"4"	"16"	"0,164295,1,8215,2,4107,8,616,10,616,12,616,14,616,18,616,16,616"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"28"	"1"	"110401"	"4"	"16"	"0,174457,1,8723,2,4361,8,654,10,654,12,654,14,654,18,654,16,654"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"29"	"1"	"110401"	"4"	"16"	"0,184620,1,9231,2,4615,8,692,10,692,12,692,14,692,18,692,16,692"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"30"	"1"	"110401"	"4"	"16"	"0,194782,1,9739,2,4870,8,730,10,730,12,730,14,730,18,730,16,730"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"31"	"1"	"110401"	"5"	"25"	"0,207486,1,10374,2,5187,8,778,10,778,12,778,14,778,18,778,16,778"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"32"	"1"	"110401"	"5"	"25"	"0,220189,1,11009,2,5505,8,826,10,826,12,826,14,826,18,826,16,826"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"33"	"1"	"110401"	"5"	"25"	"0,232892,1,11645,2,5822,8,873,10,873,12,873,14,873,18,873,16,873"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"34"	"1"	"110401"	"5"	"25"	"0,245595,1,12280,2,6140,8,921,10,921,12,921,14,921,18,921,16,921"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"35"	"1"	"110401"	"5"	"25"	"0,258298,1,12915,2,6457,8,969,10,969,12,969,14,969,18,969,16,969"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"36"	"1"	"110401"	"5"	"25"	"0,271002,1,13550,2,6775,8,1016,10,1016,12,1016,14,1016,18,1016,16,1016"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"37"	"1"	"110401"	"5"	"25"	"0,283705,1,14185,2,7093,8,1064,10,1064,12,1064,14,1064,18,1064,16,1064"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"38"	"1"	"110401"	"5"	"25"	"0,296408,1,14820,2,7410,8,1112,10,1112,12,1112,14,1112,18,1112,16,1112"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"39"	"1"	"110401"	"5"	"25"	"0,309111,1,15456,2,7728,8,1159,10,1159,12,1159,14,1159,18,1159,16,1159"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"40"	"1"	"110401"	"5"	"25"	"0,321814,1,16091,2,8045,8,1207,10,1207,12,1207,14,1207,18,1207,16,1207"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"41"	"1"	"110401"	"6"	"36"	"0,338752,1,16938,2,8469,8,1270,10,1270,12,1270,14,1270,18,1270,16,1270"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"42"	"1"	"110401"	"6"	"36"	"0,355690,1,17784,2,8892,8,1334,10,1334,12,1334,14,1334,18,1334,16,1334"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"43"	"1"	"110401"	"6"	"36"	"0,372627,1,18631,2,9316,8,1397,10,1397,12,1397,14,1397,18,1397,16,1397"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"44"	"1"	"110401"	"6"	"36"	"0,389565,1,19478,2,9739,8,1461,10,1461,12,1461,14,1461,18,1461,16,1461"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"45"	"1"	"110401"	"6"	"36"	"0,406502,1,20325,2,10163,8,1524,10,1524,12,1524,14,1524,18,1524,16,1524"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"46"	"1"	"110401"	"6"	"36"	"0,423440,1,21172,2,10586,8,1588,10,1588,12,1588,14,1588,18,1588,16,1588"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"47"	"1"	"110401"	"6"	"36"	"0,440378,1,22019,2,11009,8,1651,10,1651,12,1651,14,1651,18,1651,16,1651"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"48"	"1"	"110401"	"6"	"36"	"0,457315,1,22866,2,11433,8,1715,10,1715,12,1715,14,1715,18,1715,16,1715"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"49"	"1"	"110401"	"6"	"36"	"0,474253,1,23713,2,11856,8,1778,10,1778,12,1778,14,1778,18,1778,16,1778"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"50"	"1"	"110401"	"6"	"36"	"0,491190,1,24560,2,12280,8,1842,10,1842,12,1842,14,1842,18,1842,16,1842"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"51"	"1"	"110401"	"7"	"49"	"0,511516,1,25576,2,12788,8,1918,10,1918,12,1918,14,1918,18,1918,16,1918"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"52"	"1"	"110401"	"7"	"49"	"0,531841,1,26592,2,13296,8,1994,10,1994,12,1994,14,1994,18,1994,16,1994"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"53"	"1"	"110401"	"7"	"49"	"0,552166,1,27608,2,13804,8,2071,10,2071,12,2071,14,2071,18,2071,16,2071"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"54"	"1"	"110401"	"7"	"49"	"0,572491,1,28625,2,14312,8,2147,10,2147,12,2147,14,2147,18,2147,16,2147"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"55"	"1"	"110401"	"7"	"49"	"0,592816,1,29641,2,14820,8,2223,10,2223,12,2223,14,2223,18,2223,16,2223"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"56"	"1"	"110401"	"7"	"49"	"0,613141,1,30657,2,15329,8,2299,10,2299,12,2299,14,2299,18,2299,16,2299"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"57"	"1"	"110401"	"7"	"49"	"0,633466,1,31673,2,15837,8,2375,10,2375,12,2375,14,2375,18,2375,16,2375"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"58"	"1"	"110401"	"7"	"49"	"0,653791,1,32690,2,16345,8,2452,10,2452,12,2452,14,2452,18,2452,16,2452"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"59"	"1"	"110401"	"7"	"49"	"0,674116,1,33706,2,16853,8,2528,10,2528,12,2528,14,2528,18,2528,16,2528"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"60"	"1"	"110401"	"7"	"49"	"0,694442,1,34722,2,17361,8,2604,10,2604,12,2604,14,2604,18,2604,16,2604"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"61"	"1"	"110401"	"8"	"64"	"0,716460,1,35823,2,17912,8,2687,10,2687,12,2687,14,2687,18,2687,16,2687"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"62"	"1"	"110401"	"8"	"64"	"0,738479,1,36924,2,18462,8,2769,10,2769,12,2769,14,2769,18,2769,16,2769"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"63"	"1"	"110401"	"8"	"64"	"0,760498,1,38025,2,19012,8,2852,10,2852,12,2852,14,2852,18,2852,16,2852"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"64"	"1"	"110401"	"8"	"64"	"0,782517,1,39126,2,19563,8,2934,10,2934,12,2934,14,2934,18,2934,16,2934"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"65"	"1"	"110401"	"8"	"64"	"0,804536,1,40227,2,20113,8,3017,10,3017,12,3017,14,3017,18,3017,16,3017"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"66"	"1"	"110401"	"8"	"64"	"0,826555,1,41328,2,20664,8,3100,10,3100,12,3100,14,3100,18,3100,16,3100"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"67"	"1"	"110401"	"8"	"64"	"0,848574,1,42429,2,21214,8,3182,10,3182,12,3182,14,3182,18,3182,16,3182"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"68"	"1"	"110401"	"8"	"64"	"0,870593,1,43530,2,21765,8,3265,10,3265,12,3265,14,3265,18,3265,16,3265"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"69"	"1"	"110401"	"8"	"64"	"0,892612,1,44631,2,22315,8,3347,10,3347,12,3347,14,3347,18,3347,16,3347"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"70"	"1"	"110401"	"8"	"64"	"0,914630,1,45732,2,22866,8,3430,10,3430,12,3430,14,3430,18,3430,16,3430"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"71"	"1"	"110401"	"9"	"81"	"0,938343,1,46917,2,23459,8,3519,10,3519,12,3519,14,3519,18,3519,16,3519"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"72"	"1"	"110401"	"9"	"81"	"0,962056,1,48103,2,24051,8,3608,10,3608,12,3608,14,3608,18,3608,16,3608"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"73"	"1"	"110401"	"9"	"81"	"0,985768,1,49288,2,24644,8,3697,10,3697,12,3697,14,3697,18,3697,16,3697"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"74"	"1"	"110401"	"9"	"81"	"0,1009481,1,50474,2,25237,8,3786,10,3786,12,3786,14,3786,18,3786,16,3786"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"75"	"1"	"110401"	"9"	"81"	"0,1033194,1,51660,2,25830,8,3874,10,3874,12,3874,14,3874,18,3874,16,3874"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"76"	"1"	"110401"	"9"	"81"	"0,1056906,1,52845,2,26423,8,3963,10,3963,12,3963,14,3963,18,3963,16,3963"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"77"	"1"	"110401"	"9"	"81"	"0,1080619,1,54031,2,27015,8,4052,10,4052,12,4052,14,4052,18,4052,16,4052"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"78"	"1"	"110401"	"9"	"81"	"0,1104332,1,55217,2,27608,8,4141,10,4141,12,4141,14,4141,18,4141,16,4141"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"79"	"1"	"110401"	"9"	"81"	"0,1128044,1,56402,2,28201,8,4230,10,4230,12,4230,14,4230,18,4230,16,4230"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"80"	"1"	"110401"	"9"	"81"	"0,1151757,1,57588,2,28794,8,4319,10,4319,12,4319,14,4319,18,4319,16,4319"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"81"	"1"	"110401"	"10"	"100"	"0,1177163,1,58858,2,29429,8,4414,10,4414,12,4414,14,4414,18,4414,16,4414"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"82"	"1"	"110401"	"10"	"100"	"0,1202570,1,60128,2,30064,8,4510,10,4510,12,4510,14,4510,18,4510,16,4510"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"83"	"1"	"110401"	"10"	"100"	"0,1227976,1,61399,2,30699,8,4605,10,4605,12,4605,14,4605,18,4605,16,4605"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"84"	"1"	"110401"	"10"	"100"	"0,1253382,1,62669,2,31335,8,4700,10,4700,12,4700,14,4700,18,4700,16,4700"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"85"	"1"	"110401"	"10"	"100"	"0,1278789,1,63939,2,31970,8,4795,10,4795,12,4795,14,4795,18,4795,16,4795"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"86"	"1"	"110401"	"10"	"100"	"0,1304195,1,65210,2,32605,8,4891,10,4891,12,4891,14,4891,18,4891,16,4891"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"87"	"1"	"110401"	"10"	"100"	"0,1329602,1,66480,2,33240,8,4986,10,4986,12,4986,14,4986,18,4986,16,4986"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"88"	"1"	"110401"	"10"	"100"	"0,1355008,1,67750,2,33875,8,5081,10,5081,12,5081,14,5081,18,5081,16,5081"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"89"	"1"	"110401"	"10"	"100"	"0,1380414,1,69021,2,34510,8,5177,10,5177,12,5177,14,5177,18,5177,16,5177"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"90"	"1"	"110401"	"10"	"100"	"0,1405821,1,70291,2,35146,8,5272,10,5272,12,5272,14,5272,18,5272,16,5272"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"91"	"1"	"110401"	"11"	"121"	"0,1434615,1,71731,2,35865,8,5380,10,5380,12,5380,14,5380,18,5380,16,5380"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"92"	"1"	"110401"	"11"	"121"	"0,1463409,1,73170,2,36585,8,5488,10,5488,12,5488,14,5488,18,5488,16,5488"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"93"	"1"	"110401"	"11"	"121"	"0,1492203,1,74610,2,37305,8,5596,10,5596,12,5596,14,5596,18,5596,16,5596"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"94"	"1"	"110401"	"11"	"121"	"0,1520996,1,76050,2,38025,8,5704,10,5704,12,5704,14,5704,18,5704,16,5704"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"95"	"1"	"110401"	"11"	"121"	"0,1549790,1,77490,2,38745,8,5812,10,5812,12,5812,14,5812,18,5812,16,5812"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"96"	"1"	"110401"	"11"	"121"	"0,1578584,1,78929,2,39465,8,5920,10,5920,12,5920,14,5920,18,5920,16,5920"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"97"	"1"	"110401"	"11"	"121"	"0,1607378,1,80369,2,40184,8,6028,10,6028,12,6028,14,6028,18,6028,16,6028"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"98"	"1"	"110401"	"11"	"121"	"0,1636172,1,81809,2,40904,8,6136,10,6136,12,6136,14,6136,18,6136,16,6136"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"99"	"1"	"110401"	"11"	"121"	"0,1664966,1,83248,2,41624,8,6244,10,6244,12,6244,14,6244,18,6244,16,6244"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"100"	"1"	"110401"	"11"	"121"	"0,1693760,1,84688,2,42344,8,6352,10,6352,12,6352,14,6352,18,6352,16,6352"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
